ID,RPD,RPE,TIME
20,18.1023,18.1023,48.7619
120,10.8172,10.8172,289.762
220,9.17834,9.17834,567.619
320,8.78156,8.78156,771.429
420,8.48499,8.48499,1011.81
520,7.39006,7.39006,1243.19
620,6.86319,6.86319,1731.67
720,6.55842,6.55842,1688.43
820,6.85925,6.85925,1914.1
920,6.33022,6.33022,2220
1020,6.49621,6.49621,2840.14
1120,7.04438,7.04438,2753.29
1220,6.03056,6.03056,2869.48
1320,6.11714,6.11714,3282.9
1420,5.84487,5.84487,3366.29
1520,5.60699,5.60699,3614.81
1620,5.88147,5.88147,3905.38
1720,5.82833,5.82833,4085.52
1820,5.98033,5.98033,4320.81
1920,6.21093,6.21093,4766.14
2020,5.7689,5.7689,4705.9
2120,5.74143,5.74143,5309.76
2220,6.19224,6.19224,5543.9
2320,5.36939,5.36939,5415.14
2420,6.03667,6.03667,5700.1
2520,6.32901,6.32901,5892.05
2620,5.42382,5.42382,6108.57
2720,6.01664,6.01664,6402.52
2820,5.42006,5.42006,6548.48
2920,5.15536,5.15536,6851.33
3020,5.55936,5.55936,7603.62
3120,6.36059,6.36059,7683.95
3220,5.98564,5.98564,7839
3320,5.79033,5.79033,7731.43
3420,5.17713,5.17713,7944.14
3520,5.24788,5.24788,8208.43
3620,5.94049,5.94049,8377.19
3720,6.71064,6.71064,8572.14
3820,5.78016,5.78016,8941.29
3920,5.41195,5.41195,9606.43
4020,5.76265,5.76265,9142.95
4120,5.56472,5.56472,9491.9
4220,5.69579,5.69579,10140.1
4320,5.39312,5.39312,9913.24
4420,5.91473,5.91473,9700.86
4520,5.2694,5.2694,10573.9
4620,5.78809,5.78809,10592.1
4720,5.90792,5.90792,11433.3
4820,5.0696,5.0696,10998.8
4920,5.98396,5.98396,11035
5020,5.81826,5.81826,11843.5
5120,5.41238,5.41238,11213.4
5220,4.62153,4.62153,11838.4
5320,5.47829,5.47829,12833
5420,5.90433,5.90433,13137.8
5520,5.93676,5.93676,13457.8
5620,5.27706,5.27706,12936.9
5720,5.28409,5.28409,12960.1
5820,5.42237,5.42237,13949.4
5920,6.17603,6.17603,13476.2
6020,4.92693,4.92693,13528.3
6120,4.94955,4.94955,13846
6220,5.77754,5.77754,14153.8
6320,5.51334,5.51334,15643.6
6420,5.47768,5.47768,15671.9
