,err_up,err_low,n,m
0,0.008873830267828332,0.09605609114811568,100,20
1,0.025711960943856794,0.0931321540062435,100,20
2,0.024104027909927054,0.1065798492117889,100,20
3,0.011381853158063482,0.09322474441171374,100,20
4,0.021617293835068056,0.1032336157703614,100,20
5,0.01747141041931385,0.09019741320626276,100,20
6,0.014396456256921373,0.08439032639945881,100,20
7,0.017873795461610196,0.0907728181212525,100,20
8,0.014252948885976408,0.087284861257464,100,20
9,0.01762669184765502,0.0907557354925776,100,20
10,0.03121431290445375,0.22931477839963696,100,40
11,0.00943158953722334,0.18497195157956894,100,40
12,0.018358935931060322,0.21015138023152272,100,40
13,0.019281663516068054,0.2075246342191699,100,40
14,0.01399394856278366,0.19776619508562918,100,40
15,0.018724254150543004,0.2040424904101505,100,40
16,0.0216876480119656,0.20261150234741784,100,40
17,0.019235573320009993,0.20123656705432064,100,40
18,0.022935204912896353,0.19905979139121494,100,40
19,0.0230740133652755,0.20065108020124298,100,40
20,0.03948908994145822,0.3017861903492402,100,60
21,-0.003959158157949573,0.2297401595060458,100,60
22,0.01886202584410171,0.26645077720207255,100,60
23,0.017648946411380897,0.2646550578226771,100,60
24,0.015382983237852747,0.26000526592943657,100,60
25,0.01658742736397253,0.2597538622676093,100,60
26,0.019654494672597497,0.2622614931489307,100,60
27,0.017144074113512937,0.2608236536430834,100,60
28,0.017201594294105307,0.25997141743536445,100,60
29,0.019943318988138975,0.2609654814430314,100,60
30,0.02043343653250774,0.055636896046852125,200,20
31,0.015296198054818744,0.04724122207022344,200,20
32,0.018109187749667112,0.05239493485043127,200,20
33,0.01739207204025779,0.0516517612703048,200,20
34,0.015703069236259814,0.04854011236989961,200,20
35,0.015881513204853676,0.04833809041524721,200,20
36,0.015395442948887129,0.05108824332938712,200,20
37,0.012214411247803163,0.04395504803335146,200,20
38,0.009783681895700565,0.04330891217657424,200,20
39,0.014564416074799963,0.04752622296481945,200,20
40,0.028480048735912276,0.14341347781916694,200,40
41,0.01708497127305715,0.1285965942454492,200,40
42,0.022973591818043048,0.14213890072432894,200,40
43,0.022316043425814235,0.14151022813368128,200,40
44,0.02093409915356711,0.13884673748103188,200,40
45,0.021927470673924712,0.1429428914422912,200,40
46,0.018896677842121304,0.13437393959959282,200,40
47,0.019926310248890893,0.1373469730001677,200,40
48,0.01714760537845596,0.13494605529332435,200,40
49,0.017849005012912048,0.13404417364813404,200,40
50,0.01914609739826551,0.19128197130380536,200,60
51,0.025266666666666666,0.19291033198883029,200,60
52,0.02059649592082386,0.18659617477841703,200,60
53,0.02236842105263158,0.19575253924284394,200,60
54,0.021470353629353896,0.18893617021276596,200,60
55,0.019101123595505618,0.18498309252997233,200,60
56,0.021150648486863984,0.18537677578752315,200,60
57,0.018882978723404255,0.18258990584966817,200,60
58,0.01884019241047568,0.1778790453386885,200,60
59,0.02096924510717614,0.19094579903711756,200,60
60,0.04681404421326398,0.07176821150066569,300,20
61,-0.03408485709213563,-0.01174547435975056,300,20
62,0.01247577519379845,0.036903802021956214,300,20
63,0.013602918444320782,0.03523839595832018,300,20
64,0.012298374636919844,0.03278688524590164,300,20
65,0.011871251988740669,0.03434040157628073,300,20
66,0.008861622358554875,0.03011895722601873,300,20
67,0.0066396163777203985,0.027742907356264123,300,20
68,0.01175682261208577,0.03206363014975455,300,20
69,0.007022471910112359,0.026900803287875957,300,20
70,0.026888184501038366,0.12085421140539251,300,40
71,0.012390630943970436,0.09537249367907333,300,40
72,0.017719735558686462,0.10379077284748751,300,40
73,0.02102183453432302,0.1096390508155214,300,40
