ID,RPD,RPE,TIME
20,15.7849,33.134,44.2458
120,9.80079,26.3288,268.408
220,8.42039,24.7516,488.092
320,7.35488,23.5372,722.975
420,6.96697,23.1161,916.108
520,6.56878,22.6684,1135.49
620,6.34996,22.4397,1351.51
720,6.07801,22.1206,1552.76
820,6.02739,22.0813,1745.4
920,5.8572,21.8981,1957.87
1020,5.94361,22.0095,2158.14
1120,5.82298,21.8488,2363.64
1220,5.64693,21.6569,2554.63
1320,5.5473,21.5408,2725.31
1420,5.60684,21.629,2939.79
1520,5.60288,21.612,3212.3
1620,5.3444,21.3188,3367.07
1720,5.34058,21.3187,3576.93
1820,5.30399,21.2631,3779.47
1920,5.18877,21.1401,3980.02
2020,5.17343,21.1205,4238.63
2120,5.08594,21.0346,4383.4
2220,5.13222,21.0962,4661.15
2320,5.01472,20.9371,4837.06
2420,5.22331,21.214,5049.67
2520,5.09225,21.0529,5190.39
2620,5.12211,21.0848,5346.06
2720,4.98248,20.9173,5500.07
2820,5.04423,20.9841,5830.23
2920,4.95811,20.8728,6031.35
3020,4.98417,20.9361,6123.52
3120,4.98562,20.9295,6385.73
3220,4.95282,20.8905,6594.05
3320,4.77621,20.6687,6850.28
3420,5.02529,20.9519,6932.81
3520,4.85285,20.7761,7170.41
3620,4.83007,20.7437,7308.5
3720,4.79995,20.7197,7676.23
3820,4.84252,20.7571,7794.38
3920,4.79409,20.6976,8066.35
4020,4.96869,20.9027,8315.85
4120,4.71081,20.6195,8385.22
4220,4.85744,20.7773,8657.92
4320,4.81452,20.73,8836.62
4420,4.81783,20.7241,9064.02
4520,4.75042,20.6516,9206.68
4620,4.61881,20.4988,9428.42
4720,4.79468,20.7157,9694.55
4820,4.84729,20.7749,10015.6
4920,4.77587,20.6803,10041.5
5020,4.73925,20.6358,10487.6
5120,4.83999,20.7663,10516.5
5220,4.74577,20.6593,10661.9
5320,4.76682,20.6756,10871.9
5420,4.73133,20.6228,11057.2
5520,4.73915,20.646,11259.6
5620,4.6559,20.5631,11589.4
5720,4.59138,20.4748,11946
5820,4.61803,20.5171,11898
5920,4.70774,20.6065,12118.6
6020,4.83055,20.7705,12271.1
6120,4.63809,20.525,12441.4
6220,4.74157,20.6617,12710.8
6320,4.58656,20.4647,13287.2
6420,4.62778,20.5134,13163
6520,4.73623,20.6563,13461.9
6620,4.60407,20.493,13566.5
6720,4.76373,20.6566,13746.1
6820,4.65188,20.5496,13919.8
6920,4.82606,20.7549,14187.6
7020,4.6685,20.5516,14506
7120,4.70469,20.6117,14669.2
7220,4.68471,20.5791,14899.8
7320,4.59848,20.4868,14990.4
7420,4.61354,20.5008,15238.1
7520,4.88237,20.8236,15540.8
7620,4.73137,20.652,15612
7720,4.57109,20.4353,15873.7
7820,4.60181,20.5044,15948
7920,4.54406,20.4373,16112
8020,4.49694,20.3784,16412.2
8120,4.8918,20.8277,16561.5
8220,4.64416,20.5269,16769.1
8320,4.63257,20.5295,17052.7
8420,4.61855,20.5163,17353.2
8520,4.5182,20.4025,17457.3
8620,4.71617,20.6109,17690.6
8720,4.67208,20.5637,17720.2
8820,4.52149,20.3956,18209.1
8920,4.70712,20.5919,18159.1
9020,4.68772,20.5897,18453.7
9120,4.57887,20.4468,18759.5
9220,4.61925,20.5255,18878
9320,4.69725,20.6032,18748.3
9420,4.70736,20.61,19388.5
9520,4.45038,20.308,19459
9620,4.74569,20.6566,19694.9
9720,4.56726,20.4499,19987.6
9820,4.49857,20.3631,19968.3
9920,4.66336,20.5374,20510.1
10020,4.58109,20.4724,21578.4
10120,4.61157,20.5009,21846.8
10220,4.86172,20.8026,22122.1
10320,4.73748,20.6466,21771.7
10420,4.68838,20.5934,22699.2
10520,4.66443,20.5567,23437.3
10620,4.51709,20.3978,22625.9
10720,4.68131,20.5829,21938.6
10820,4.73282,20.6633,22244
10920,4.61343,20.5207,22489.1
11020,4.72234,20.6316,22816.7
11120,4.55546,20.427,23362.7
11220,4.57934,20.4463,23065.3
11320,4.46164,20.311,23357.2
11420,4.52542,20.3872,23852.8
11520,4.70189,20.6088,24028.4
11620,4.74252,20.6532,24094.7
11720,4.75507,20.6597,24410.2
11820,4.69661,20.5907,24317.2
11920,4.55008,20.4349,24785.2
12020,4.67718,20.5751,24444
12120,4.46543,20.3221,24795.5
12220,4.62029,20.5179,26699
12320,4.87913,20.8069,28090.6
12420,4.57729,20.4723,31142.3
12520,4.59455,20.4891,30126
12620,4.87129,20.8219,32331.9
12720,4.48576,20.34,31366.9
12820,4.67105,20.5563,35149.8
12920,4.67358,20.5658,30649.1
13020,4.68142,20.5826,32055.8
13120,4.60154,20.4871,33061.4
13220,4.53847,20.408,32383.5
13320,4.71631,20.6139,32190.1
13420,4.61634,20.5159,33312.2
13520,4.72655,20.6412,34980.6
13620,4.66134,20.5585,37400.7
13720,4.50596,20.3829,33352.5
13820,4.54932,20.4248,33672.2
13920,4.58679,20.4671,35122.6
14020,4.68774,20.5816,33885.8
14120,4.60737,20.5039,35337.6
14220,4.75987,20.6863,34094.1
14320,4.5278,20.4375,39290.4
14420,4.64103,20.5211,37109.9
14520,4.71717,20.6235,36612.6
14620,4.64582,20.522,35954.2
14720,4.69151,20.5898,38840.6
14820,4.70596,20.6007,38064.4
14920,4.55847,20.4054,35531.6
