ID,RPD,RPE,TIME
20,7.87766,7.87766,750.381
120,6.73848,6.73848,1335.71
220,5.81762,5.81762,2554.29
320,5.60367,5.60367,2100.1
420,5.63722,5.63722,2307.14
520,5.52428,5.52428,2380.86
620,5.19977,5.19977,3625.9
720,5.19199,5.19199,3281.62
820,5.12966,5.12966,3631.48
920,5.28386,5.28386,3641.81
1020,4.63739,4.63739,3207.52
1120,4.4117,4.4117,3393.14
1220,4.5384,4.5384,4464.52
1320,4.95357,4.95357,3669.24
1420,4.47109,4.47109,3955.14
1520,4.78157,4.78157,4838.76
1620,4.7447,4.7447,5678.9
1720,4.3907,4.3907,6235.86
1820,4.46821,4.46821,8889
1920,4.7776,4.7776,10599.6
2020,4.31831,4.31831,10523.3
2120,4.76739,4.76739,9419.57
2220,4.65479,4.65479,6181.1
2320,4.63559,4.63559,6126.81
2420,4.41745,4.41745,6389.14
2520,3.87455,3.87455,9494.38
2620,4.2296,4.2296,8747.19
2720,4.52468,4.52468,7935.9
2820,4.35256,4.35256,8316.38
2920,4.23387,4.23387,9827.33
3020,4.45668,4.45668,8974.71
3120,4.04444,4.04444,18472.7
3220,4.6734,4.6734,12498.7
3320,4.10046,4.10046,8182.14
3420,4.47682,4.47682,10030.2
3520,3.94361,3.94361,9509.76
3620,4.75818,4.75818,14612.2
3720,4.3651,4.3651,13243.1
3820,4.02883,4.02883,10027.5
3920,4.41585,4.41585,10738.4
4020,4.61239,4.61239,18958.4
4120,4.30293,4.30293,12588.5
4220,3.7618,3.7618,14607.8
4320,4.18422,4.18422,11440.2
4420,5.12366,5.12366,14202.3
4520,4.38623,4.38623,12711
4620,4.35362,4.35362,13553.8
4720,4.25402,4.25402,11884.7
4820,4.29878,4.29878,14522.8
4920,4.50843,4.50843,21452.7
5020,4.15054,4.15054,19492.8
5120,4.15728,4.15728,16898.2
5220,4.83304,4.83304,18414.9
5320,4.14036,4.14036,20692.8
5420,4.63271,4.63271,25193.9
5520,3.8165,3.8165,24604.6
5620,4.10747,4.10747,19039.2
5720,5.03541,5.03541,18325.3
5820,4.30451,4.30451,15119.6
5920,4.54757,4.54757,25802.9
6020,3.98574,3.98574,16760
6120,4.13322,4.13322,16441.1
6220,4.41396,4.41396,17760.5
6320,4.76068,4.76068,26486.9
6420,3.95114,3.95114,22843.6
6520,3.9913,3.9913,31983.3
6620,4.15428,4.15428,25901.6
6720,5.15343,5.15343,18996.9
6820,4.34935,4.34935,20224.5
6920,3.6883,3.6883,28586.8
7020,3.95304,3.95304,21454.1
7120,4.04864,4.04864,29267.3
7220,4.66779,4.66779,19001.9
7320,4.45202,4.45202,30162
7420,4.45809,4.45809,33877.6
7520,4.19848,4.19848,29310.3
7620,4.09912,4.09912,30571
7720,3.87087,3.87087,26561
7820,4.27616,4.27616,23535.1
7920,4.29444,4.29444,31582.7
8020,4.43335,4.43335,29588
8120,3.81094,3.81094,21543.5
8220,4.19938,4.19938,29070.1
8320,3.56367,3.56367,37381
8420,4.36478,4.36478,32221.6
